"","BIO_SEX","H1PF18","H1PF19","H1PF20","H1PF21","H1TO15","H1FS1","H1FS2","H1FS3","H1FS4","H1FS5","H1FS6","H1FS7","H1FS8","H1FS9"
"6326","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(6) 1 or 2 days in past 12 months","(1) Sometimes","(1) Sometimes","(1) Sometimes","(1) Sometimes","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"3389","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"6350","(1) Male","(2) Agree","(2) Agree","(2) Agree","(4) Disagree","(7) Never (skip to Q.29)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(0) Never/rarely"
"1347","(1) Male","(2) Agree","(1) Strongly agree","(2) Agree","(3) Neither agree nor disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(0) Never/rarely"
"2061","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"3312","(2) Female","(2) Agree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"706","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(4) 2 or 3 days/month","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"3562","(2) Female","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(5) Once a month or less (3-12 times in past 12 months)","(2) A lot of the time","(0) Never/rarely","(1) Sometimes","(3) Most/all of the time","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(1) Sometimes","(0) Never/rarely"
"3569","(2) Female","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(2) Agree","(3) 1 or 2 days/week","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(3) Most/all of the time","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(3) Most/all of the time","(1) Sometimes"
"5725","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(4) 2 or 3 days/month","(2) A lot of the time","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes"
"1910","(2) Female","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"1437","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"4048","(2) Female","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(4) Disagree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(2) A lot of the time","(0) Never/rarely"
"5223","(1) Male","(2) Agree","(1) Strongly agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"3481","(1) Male","(2) Agree","(2) Agree","(4) Disagree","(2) Agree","(3) 1 or 2 days/week","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"5074","(2) Female","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely"
"5982","(2) Female","(2) Agree","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(6) 1 or 2 days in past 12 months","(1) Sometimes","(1) Sometimes","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"3580","(2) Female","(3) Neither agree nor disagree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"3223","(2) Female","(3) Neither agree nor disagree","(2) Agree","(3) Neither agree nor disagree","(2) Agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
"5150","(1) Male","(2) Agree","(2) Agree","(4) Disagree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"2784","(2) Female","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"770","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"4878","(1) Male","(2) Agree","(4) Disagree","(4) Disagree","(2) Agree","(7) Never (skip to Q.29)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"2447","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(2) A lot of the time","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"4815","(2) Female","(5) Strongly disagree","(5) Strongly disagree","(5) Strongly disagree","(1) Strongly agree","(7) Never (skip to Q.29)","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely"
"6438","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(2) A lot of the time","(1) Sometimes"
"3061","(2) Female","(3) Neither agree nor disagree","(2) Agree","(2) Agree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(3) Most/all of the time","(2) A lot of the time","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(1) Sometimes"
"2742","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"6370","(2) Female","(2) Agree","(2) Agree","(1) Strongly agree","(1) Strongly agree","(4) 2 or 3 days/month","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"518","(2) Female","(1) Strongly agree","(2) Agree","(3) Neither agree nor disagree","(4) Disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"1424","(1) Male","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"2456","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(6) 1 or 2 days in past 12 months","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"972","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(1) Sometimes","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(1) Sometimes"
"3017","(2) Female","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(4) 2 or 3 days/month","(0) Never/rarely","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(2) A lot of the time","(2) A lot of the time","(0) Never/rarely","(1) Sometimes"
"515","(2) Female","(1) Strongly agree","(1) Strongly agree","(2) Agree","(2) Agree","(3) 1 or 2 days/week","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"225","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"606","(1) Male","(2) Agree","(1) Strongly agree","(2) Agree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely"
"2968","(2) Female","(4) Disagree","(3) Neither agree nor disagree","(2) Agree","(2) Agree","(3) 1 or 2 days/week","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(2) A lot of the time","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"1042","(2) Female","(2) Agree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(5) Strongly disagree","(5) Once a month or less (3-12 times in past 12 months)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(3) Most/all of the time","(1) Sometimes","(1) Sometimes","(1) Sometimes"
"3772","(1) Male","(2) Agree","(1) Strongly agree","(4) Disagree","(2) Agree","(5) Once a month or less (3-12 times in past 12 months)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(0) Never/rarely"
"1739","(2) Female","(3) Neither agree nor disagree","(2) Agree","(2) Agree","(4) Disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"5734","(2) Female","(3) Neither agree nor disagree","(2) Agree","(3) Neither agree nor disagree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(1) Sometimes"
"3878","(2) Female","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(1) Strongly agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely"
"6381","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(7) Never (skip to Q.29)","(0) Never/rarely","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(1) Sometimes"
"2675","(1) Male","(3) Neither agree nor disagree","(2) Agree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(6) 1 or 2 days in past 12 months","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(0) Never/rarely"
"792","(2) Female","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(4) Disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"4499","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"4993","(1) Male","(2) Agree","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(97) Legitimate skip (hasn't had a drink)","(1) Sometimes","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(1) Sometimes"
"331","(1) Male","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely"
"412","(1) Male","(4) Disagree","(4) Disagree","(4) Disagree","(3) Neither agree nor disagree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely"
"57","(1) Male","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(0) Never/rarely"
"3150","(2) Female","(1) Strongly agree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(6) 1 or 2 days in past 12 months","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"1236","(1) Male","(3) Neither agree nor disagree","(1) Strongly agree","(3) Neither agree nor disagree","(1) Strongly agree","(2) 3-5 days/week","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely"
"5250","(2) Female","(2) Agree","(2) Agree","(4) Disagree","(4) Disagree","(7) Never (skip to Q.29)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(3) Most/all of the time","(0) Never/rarely"
"4100","(1) Male","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(7) Never (skip to Q.29)","(0) Never/rarely","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely"
"700","(2) Female","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(4) Disagree","(2) Agree","(6) 1 or 2 days in past 12 months","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(2) A lot of the time","(1) Sometimes","(2) A lot of the time","(1) Sometimes"
"3879","(1) Male","(3) Neither agree nor disagree","(3) Neither agree nor disagree","(2) Agree","(4) Disagree","(7) Never (skip to Q.29)","(0) Never/rarely","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(0) Never/rarely"
"576","(1) Male","(2) Agree","(1) Strongly agree","(2) Agree","(2) Agree","(4) 2 or 3 days/month","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(3) Most/all of the time","(1) Sometimes","(1) Sometimes","(2) A lot of the time","(3) Most/all of the time","(1) Sometimes"
"3019","(2) Female","(2) Agree","(2) Agree","(3) Neither agree nor disagree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(3) Most/all of the time","(1) Sometimes","(0) Never/rarely","(2) A lot of the time","(3) Most/all of the time","(0) Never/rarely"
"4709","(1) Male","(2) Agree","(2) Agree","(1) Strongly agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely","(1) Sometimes","(1) Sometimes","(0) Never/rarely"
"4923","(2) Female","(2) Agree","(2) Agree","(2) Agree","(2) Agree","(97) Legitimate skip (hasn't had a drink)","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(2) A lot of the time","(1) Sometimes","(0) Never/rarely","(0) Never/rarely","(1) Sometimes","(0) Never/rarely"
